Date,Colombia,Germany,India,Italy,Mexico,Nepal,Nigeria,Sweden,South Korea
5/19/2020,613,8081,3302,32169,5666,2,192,3743,263
5/20/2020,630,8144,3434,32330,6090,2,200,3831,264
5/21/2020,652,8203,3584,32486,6510,3,211,3871,264
5/22/2020,682,8228,3726,32616,6989,3,221,3925,266
5/23/2020,705,8261,3868,32735,7179,3,221,3992,266
5/24/2020,727,8283,4024,32785,7394,3,226,3998,267
5/25/2020,750,8309,4172,32877,7633,4,233,4029,269
5/26/2020,776,8372,4344,32955,8134,4,249,4125,269
5/27/2020,803,8428,4534,33072,8597,4,254,4220,269
5/28/2020,833,8470,4711,33142,9044,5,259,4266,269
5/29/2020,855,8504,4980,33229,9415,6,261,4350,269
5/30/2020,891,8530,5185,33340,9779,6,273,4395,270
5/31/2020,916,8540,5408,33415,9930,8,287,4395,271
